profile,model,task,run_date_utc,items,categories,correct,accuracy,parse_errors,timeouts,errors,p50_latency_ms,p95_latency_ms,output_tokens_per_second,measured_requests_per_hour,max_output_tokens,self_hosted_cost_per_1000_requests_usd,self_hosted_cost_at_100x_traffic_usd
baseline,llama3.1:latest,multiclass_legal_clause_classification,2026-09-14T09:18:43.563817+00:00,50,25,50,1.0,0,0,0,2357.538199998089,2491.585784997733,31.796893751192385,1422.7048509203655,24,,
top-local,llama3.2:3b,multiclass_legal_clause_classification,2026-09-14T09:20:49.164428+00:00,50,25,39,0.78,2,0,0,2310.600400000112,2444.053815002553,36.36586273960806,1465.6295853263232,24,,
cheap-local,llama3.2:1b,multiclass_legal_clause_classification,2026-09-14T09:22:49.045242+00:00,50,25,5,0.1,0,0,0,2237.0840500079794,2457.669015004649,37.02963522953163,1532.6192802207106,24,,
