profile,model,task,run_date_utc,items,categories,correct,accuracy,parse_errors,timeouts,errors,p50_latency_ms,p95_latency_ms,output_tokens_per_second,measured_requests_per_hour,max_output_tokens,self_hosted_cost_per_1000_requests_usd,self_hosted_cost_at_100x_traffic_usd
baseline,llama3.1:latest,multiclass_legal_clause_classification,2026-09-14T08:42:49.269181+00:00,50,25,50,1.0,0,0,0,2332.3114500090014,2491.511229996104,30.417915170812535,1413.9265185748989,24,,
top-local,llama3.2:3b,multiclass_legal_clause_classification,2026-09-14T08:44:51.713093+00:00,50,25,39,0.78,2,0,0,2251.679699998931,2469.2362249974394,42.53111292126777,1491.0563989376294,24,,
cheap-local,llama3.2:1b,multiclass_legal_clause_classification,2026-09-14T08:47:05.153254+00:00,50,25,5,0.1,0,0,0,2189.75910001609,2470.401034988754,42.94580561023416,1364.0082925308184,24,,
