profile,model,task,run_date_utc,items,categories,correct,accuracy,parse_errors,timeouts,errors,p50_latency_ms,p95_latency_ms,output_tokens_per_second,measured_requests_per_hour,max_output_tokens,self_hosted_cost_per_1000_requests_usd,self_hosted_cost_at_100x_traffic_usd
baseline,llama3.1:latest,multiclass_legal_clause_classification,2026-09-23T14:11:17.159997+00:00,50,25,50,1.0,0,0,0,325.8014164166525,601.5865224297156,30.465239836986395,7268.143643636579,24,,
top-local,llama3.2:3b,multiclass_legal_clause_classification,2026-09-23T14:11:27.995688+00:00,50,25,47,0.94,0,0,0,156.7447914276272,282.1031226892955,66.25630332933933,16679.808579498,24,,
cheap-local,llama3.2:1b,multiclass_legal_clause_classification,2026-09-23T14:11:45.440667+00:00,50,25,7,0.14,9,0,0,88.6004373896867,107.16529577039178,105.57716229625264,10321.316289676046,24,,
